YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Disrupted weapons use;Excessive force against protesters;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2017;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;0;0;0;3;0;31;0;0;3;0;0;0;4;0;0;0;0;0;0;1
2019;0;0;0;0;0;24;0;0;0;0;0;0;1;0;0;0;0;0;1;1
2020;0;0;0;0;0;18;0;2;0;0;0;0;0;0;0;0;1;0;1;0
2021;0;0;0;1;0;19;0;2;0;0;0;0;0;0;0;0;1;0;5;0
2022;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;0;0;0;5;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2024;0;0;0;0;0;37;0;0;2;0;0;0;0;0;0;0;0;0;0;2
2025;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
