YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Chemical weapon;Disrupted weapons use;Excessive force against protesters;Government regains territory;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Non-state actor overtakes territory;Non-violent transfer of territory;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;0;0;0;375;0;266;0;0;0;9;0;17;0;0;2;0;0;0;0;66;4;2;0;5
2011;0;0;0;1436;0;273;0;0;0;63;0;12;0;0;2;0;0;0;0;113;35;6;0;1
2012;0;0;0;708;0;317;0;0;4;1;3;0;0;0;30;0;0;0;0;187;4;114;0;1
2013;0;0;0;430;0;206;0;0;0;1;0;1;0;0;98;0;0;0;0;162;0;13;0;9
2014;0;0;0;464;0;316;0;0;1;12;15;0;0;0;33;0;0;0;0;70;0;39;0;6
2015;0;0;0;1136;0;313;0;0;3;6;76;0;0;0;15;13;0;0;0;78;3;3;0;3
2016;0;0;39;1275;0;4002;0;0;1;4;23;3;0;0;12;8;0;0;0;118;19;47;0;6
2017;0;0;22;2313;0;3292;0;0;0;0;45;19;0;0;21;14;0;0;0;68;92;16;8;6
2018;0;0;15;858;0;1667;0;0;2;10;4;3;0;0;30;8;0;0;0;48;0;14;46;8
2019;0;0;0;2051;0;1434;0;0;1;5;5;7;0;0;43;0;0;0;0;58;3;50;36;65
2020;0;0;34;1063;0;1159;0;0;4;0;0;1;0;0;39;0;0;0;0;64;2;46;17;4
2021;0;0;69;7114;0;2604;0;0;26;494;0;32;0;0;41;16;0;0;0;2372;6;165;2;126
2022;0;0;529;15798;0;3283;0;0;51;7;1;111;0;0;161;67;0;0;0;4548;25;482;4;7
2023;0;0;1574;14753;0;2676;0;0;73;0;0;67;0;0;46;129;0;0;0;2183;39;870;2;5
2024;0;0;2443;11905;0;1760;0;0;10;5;2;18;0;0;32;2275;0;0;0;1021;198;1083;0;1
2025;0;0;2015;8438;0;1054;0;0;1;7;11;9;0;0;35;100;0;0;0;518;16;626;0;12
